equipment_id,site_id,site_name,equipment_type,model_make,status,failure_risk,uptime_pct,total_operating_hours,hydraulic_pressure_bar,engine_oil_temp_c,vibration_rms_mms,last_maintenance_date,days_since_maintenance
BAL-EXC-01,balaghat,Balaghat Mine,Hydraulic Excavator,Komatsu PC400 / Tata Hitachi,Operational (Healthy),Low,99.5,4647,264.9,88.9,3.61,2026-08-23,21
BAL-EXC-02,balaghat,Balaghat Mine,Hydraulic Excavator,Komatsu PC400 / Tata Hitachi,Operational (Under Watch),Moderate,78.7,14386,271.7,87.1,2.79,2026-07-09,66
BAL-EXC-03,balaghat,Balaghat Mine,Hydraulic Excavator,Komatsu PC400 / Tata Hitachi,Operational (Healthy),Low,86.1,7022,252.8,89.1,5.08,2026-08-26,18
BAL-DMP-04,balaghat,Balaghat Mine,Heavy Dumper Fleet,BEML BH60M (60 Ton),Operational (Healthy),Low,89.7,7283,269.1,92.4,3.37,2026-08-15,29
BAL-DMP-05,balaghat,Balaghat Mine,Heavy Dumper Fleet,BEML BH60M (60 Ton),Operational (Healthy),Low,88.3,13451,262.0,85.3,3.32,2026-09-07,6
BAL-DMP-06,balaghat,Balaghat Mine,Heavy Dumper Fleet,BEML BH60M (60 Ton),Operational (Healthy),Low,86.9,2279,234.6,70.9,4.76,2026-09-03,10
BAL-DMP-07,balaghat,Balaghat Mine,Heavy Dumper Fleet,BEML BH60M (60 Ton),Operational (Healthy),Low,83.5,8099,264.9,92.2,3.07,2026-07-24,51
BAL-DMP-08,balaghat,Balaghat Mine,Heavy Dumper Fleet,BEML BH60M (60 Ton),Operational (Healthy),Low,81.8,13048,245.2,87.7,3.89,2026-08-16,28
BAL-DMP-09,balaghat,Balaghat Mine,Heavy Dumper Fleet,BEML BH60M (60 Ton),Operational (Healthy),Low,88.7,5328,252.1,92.5,3.42,2026-08-24,20
BAL-DRL-10,balaghat,Balaghat Mine,Rotary Drill Rig,Atlas Copco / Sandvik DI550,Operational (Healthy),Low,96.9,3811,238.6,93.2,4.57,2026-07-15,60
BAL-DRL-11,balaghat,Balaghat Mine,Rotary Drill Rig,Atlas Copco / Sandvik DI550,Operational (Healthy),Low,97.4,7390,246.4,79.4,3.39,2026-08-06,38
BAL-DRL-12,balaghat,Balaghat Mine,Rotary Drill Rig,Atlas Copco / Sandvik DI550,Operational (Healthy),Low,80.8,11779,263.4,81.8,2.55,2026-08-10,34
BAL-CRU-13,balaghat,Balaghat Mine,Primary Ore Crusher,Metso Nordberg C130,Operational (Healthy),Low,98.0,12866,236.4,76.5,3.7,2026-07-05,70
BAL-PMP-14,balaghat,Balaghat Mine,Mine Dewatering Pump,Kirloskar High-Head Submersible,Operational (Healthy),Low,91.6,11183,258.5,93.6,0.93,2026-08-02,42
DON-EXC-01,dongri_buzurg,Dongri Buzurg Mine,Hydraulic Excavator,Komatsu PC400 / Tata Hitachi,Operational (Healthy),Low,81.4,8121,242.9,85.0,1.81,2026-07-08,67
DON-EXC-02,dongri_buzurg,Dongri Buzurg Mine,Hydraulic Excavator,Komatsu PC400 / Tata Hitachi,Operational (Healthy),Low,87.9,6198,213.1,84.1,3.64,2026-07-18,57
DON-EXC-03,dongri_buzurg,Dongri Buzurg Mine,Hydraulic Excavator,Komatsu PC400 / Tata Hitachi,Operational (Healthy),Low,94.8,6325,251.4,80.2,3.33,2026-07-14,61
DON-DMP-04,dongri_buzurg,Dongri Buzurg Mine,Heavy Dumper Fleet,BEML BH60M (60 Ton),Operational (Healthy),Low,92.9,7791,238.2,89.2,5.1,2026-08-26,18
DON-DMP-05,dongri_buzurg,Dongri Buzurg Mine,Heavy Dumper Fleet,BEML BH60M (60 Ton),Operational (Healthy),Low,99.5,9774,234.7,87.3,1.74,2026-07-08,67
DON-DMP-06,dongri_buzurg,Dongri Buzurg Mine,Heavy Dumper Fleet,BEML BH60M (60 Ton),Operational (Healthy),Low,95.6,4036,233.9,81.4,4.09,2026-07-10,65
